timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640726449626,104,home,200,OK,Thread Group 1-1,text,true,,315319,8624,1,1,http://192.168.0.128/blog/,9,0,1
1640726449626,9,home-0,200,OK,Thread Group 1-1,text,true,,20323,372,1,1,http://192.168.0.128/blog/,9,0,1
1640726449636,2,home-1,200,OK,Thread Group 1-1,text,true,,5348,395,1,1,http://192.168.0.128/blog/Content/Auto/Global.css,2,0,0
1640726449636,94,home-2,200,OK,Thread Group 1-1,text,true,,8896,407,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",93,0,55
1640726449636,3,home-3,200,OK,Thread Group 1-1,text,true,,25635,409,1,1,http://192.168.0.128/blog/Custom/Themes/Standard/css/styles.css,2,0,0
1640726449636,3,home-4,200,OK,Thread Group 1-1,bin,true,,3928,406,1,1,http://192.168.0.128/blog/Content/images/blog/blogengine.ico,3,0,1
1640726449636,3,home-5,200,OK,Thread Group 1-1,text,true,,6323,415,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shCore.css,3,0,1
1640726449636,3,home-6,200,OK,Thread Group 1-1,text,true,,2887,423,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,3,0,0
1640726449638,2,home-7,200,OK,Thread Group 1-1,text,true,,1421,385,1,1,http://192.168.0.128/blog/en-us.res.axd,2,0,0
1640726449639,3,home-8,200,OK,Thread Group 1-1,text,true,,92938,407,1,1,http://192.168.0.128/blog/Scripts/Auto/01-jquery-1.9.1.min.js,2,0,1
1640726449639,4,home-9,200,OK,Thread Group 1-1,text,true,,2533,404,1,1,http://192.168.0.128/blog/Scripts/Auto/02-jquery.cookie.js,4,0,1
1640726449639,2,home-10,200,OK,Thread Group 1-1,text,true,,10010,408,1,1,http://192.168.0.128/blog/Scripts/Auto/04-jquery-jtemplates.js,2,0,1
1640726449639,5,home-11,200,OK,Thread Group 1-1,text,true,,3069,400,1,1,http://192.168.0.128/blog/Scripts/Auto/05-json2.min.js,5,0,1
1640726449640,3,home-12,200,OK,Thread Group 1-1,text,true,,24754,392,1,1,http://192.168.0.128/blog/Scripts/Auto/blog.js,2,0,0
1640726449641,5,home-13,200,OK,Thread Group 1-1,text,true,,30406,416,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,5,0,0
1640726449642,3,home-14,200,OK,Thread Group 1-1,text,true,,44438,415,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/shCore.js,2,0,1
1640726449643,2,home-15,200,OK,Thread Group 1-1,text,true,,2730,421,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,2,0,0
1640726449643,3,home-16,200,OK,Thread Group 1-1,text,true,,2141,412,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/shActivator.js,3,0,1
1640726449644,1,home-17,200,OK,Thread Group 1-1,text,true,,23342,482,1,1,http://192.168.0.128/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637454140754849868,1,0,0
1640726449645,2,home-18,200,OK,Thread Group 1-1,bin,true,,838,405,1,1,http://192.168.0.128/blog/Content/images/blog/rssButton.png,2,0,0
1640726449645,61,home-19,200,OK,Thread Group 1-1,bin,true,,1462,425,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,61,0,31
1640726449646,54,home-20,200,OK,Thread Group 1-1,bin,true,,1897,425,1,1,http://www.gravatar.com/avatar/4769be33ec7ba620729ad586af084e96.jpg?d=identicon,54,0,27
1640726449745,81,home,200,OK,Thread Group 1-1,text,true,,33523,10124,1,1,http://192.168.0.128/blog/,9,0,0
1640726449745,10,home-0,200,OK,Thread Group 1-1,text,true,,20323,372,1,1,http://192.168.0.128/blog/,9,0,0
1640726449755,4,home-1,304,Not Modified,Thread Group 1-1,,true,,204,479,1,1,http://192.168.0.128/blog/Content/Auto/Global.css,0,0,0
1640726449755,41,home-2,200,OK,Thread Group 1-1,text,true,,8896,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",38,0,0
1640726449755,3,home-3,304,Not Modified,Thread Group 1-1,,true,,204,493,1,1,http://192.168.0.128/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1640726449755,3,home-4,304,Not Modified,Thread Group 1-1,,true,,204,490,1,1,http://192.168.0.128/blog/Content/images/blog/blogengine.ico,0,0,0
1640726449755,2,home-5,304,Not Modified,Thread Group 1-1,,true,,205,500,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1640726449755,3,home-6,304,Not Modified,Thread Group 1-1,,true,,205,508,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1640726449757,2,home-7,304,Not Modified,Thread Group 1-1,,true,,257,414,1,1,http://192.168.0.128/blog/en-us.res.axd,0,0,0
1640726449758,1,home-8,304,Not Modified,Thread Group 1-1,,true,,205,492,1,1,http://192.168.0.128/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1640726449758,2,home-9,304,Not Modified,Thread Group 1-1,,true,,205,489,1,1,http://192.168.0.128/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1640726449758,2,home-10,304,Not Modified,Thread Group 1-1,,true,,205,493,1,1,http://192.168.0.128/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1640726449759,1,home-11,304,Not Modified,Thread Group 1-1,,true,,205,485,1,1,http://192.168.0.128/blog/Scripts/Auto/05-json2.min.js,0,0,0
1640726449759,1,home-12,304,Not Modified,Thread Group 1-1,,true,,205,477,1,1,http://192.168.0.128/blog/Scripts/Auto/blog.js,0,0,0
1640726449759,2,home-13,304,Not Modified,Thread Group 1-1,,true,,205,501,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1640726449760,1,home-14,304,Not Modified,Thread Group 1-1,,true,,205,500,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1640726449760,1,home-15,304,Not Modified,Thread Group 1-1,,true,,205,506,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1640726449761,1,home-16,304,Not Modified,Thread Group 1-1,,true,,205,497,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
1640726449761,1,home-17,304,Not Modified,Thread Group 1-1,,true,,226,532,1,1,http://192.168.0.128/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637454140754849868,0,0,0
1640726449761,1,home-18,304,Not Modified,Thread Group 1-1,,true,,204,489,1,1,http://192.168.0.128/blog/Content/images/blog/rssButton.png,0,0,0
1640726449761,65,home-19,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,0,0,32
1640726449761,30,home-20,304,Not Modified,Thread Group 1-1,,true,,375,475,1,1,http://www.gravatar.com/avatar/4769be33ec7ba620729ad586af084e96.jpg?d=identicon,0,0,0
1640726449848,73,home,200,OK,Thread Group 1-1,text,true,,33523,10124,1,1,http://192.168.0.128/blog/,8,0,0
1640726449848,8,home-0,200,OK,Thread Group 1-1,text,true,,20323,372,1,1,http://192.168.0.128/blog/,8,0,0
1640726449857,2,home-1,304,Not Modified,Thread Group 1-1,,true,,204,479,1,1,http://192.168.0.128/blog/Content/Auto/Global.css,0,0,0
1640726449857,40,home-2,200,OK,Thread Group 1-1,text,true,,8896,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",37,0,0
1640726449857,1,home-3,304,Not Modified,Thread Group 1-1,,true,,204,493,1,1,http://192.168.0.128/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1640726449857,1,home-4,304,Not Modified,Thread Group 1-1,,true,,204,490,1,1,http://192.168.0.128/blog/Content/images/blog/blogengine.ico,0,0,0
1640726449857,2,home-5,304,Not Modified,Thread Group 1-1,,true,,205,500,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1640726449857,2,home-6,304,Not Modified,Thread Group 1-1,,true,,205,508,1,1,http://192.168.0.128/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1640726449858,2,home-7,304,Not Modified,Thread Group 1-1,,true,,257,414,1,1,http://192.168.0.128/blog/en-us.res.axd,0,0,0
1640726449858,2,home-8,304,Not Modified,Thread Group 1-1,,true,,205,492,1,1,http://192.168.0.128/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
